spec	outcome	pass	fail	error	pending	executed	ctl_pass	ctl_fail	blocker_class	first_blocker	hang_at	oxvimhost_pass	oxvimhost_fail
api/autocmd_spec.lua	partial	23	65	0	1	88	88	0	editor	assert eq: values differ		2	86
api/buffer_spec.lua	partial	52	135	0	0	187	187	0	protocol	API not implemented via curbuf_depr		4	183
api/buffer_updates_spec.lua	zero-pass	0	28	0	0	28	28	0	editor	E121: Undefined variable: b:changedtick (byte <n>)		0	28
api/command_spec.lua	zero-pass	0	17	0	0	17	17	0	protocol	API not implemented via nvim_get_commands		0	17
api/deprecated_spec.lua	zero-pass	0	0	1	0	1	15	0	protocol	screen: nvim_get_color_map not implemented		0	1
api/extmark_spec.lua	partial	10	109	0	0	119	119	0	editor	assert eq: values differ		0	119
api/fast_spec.lua	zero-pass	0	2	0	0	2	2	0	editor	assert eq: values differ		0	2
api/highlight_spec.lua	partial	4	35	0	0	39	39	0	editor	assert eq: values differ		0	39
api/keymap_spec.lua	partial	1	325	0	0	326	326	0	protocol	API not implemented via nvim_get_keymap		0	268
api/menu_spec.lua	zero-pass	0	3	0	0	3	3	0	protocol	screen: nvim_get_color_map not implemented		0	3
api/proc_spec.lua	zero-pass	0	4	0	0	4	4	0	protocol	API not implemented via request		0	4
api/server_notifications_spec.lua	zero-pass	0	4	0	0	4	4	0	editor	attempt to concatenate upvalue 'channel' (a nil value)		0	4
api/server_requests_spec.lua	zero-pass	0	15	0	4	15	18	0	protocol	API not implemented via nvim_exec2		0	19
api/tabpage_spec.lua	partial	2	19	0	0	21	21	0	editor	assert eq: values differ		0	21
api/ui_spec.lua	zero-pass	0	8	0	0	8	8	0	protocol	screen: nvim_get_color_map not implemented		0	8
api/version_spec.lua	partial	7	5	0	0	12	12	0	protocol	Not implemented: api_info		0	6
api/vim_spec.lua	partial	21	381	0	1	402	402	0	editor	assert matches: pattern mismatch		0	1
api/window_spec.lua	partial	18	126	0	0	144	144	0	editor	assert eq: values differ		0	144
autocmd/autocmd_oldtest_spec.lua	zero-pass	0	2	0	0	2	2	0	protocol	API not implemented via nvim_exec2		0	2
autocmd/autocmd_spec.lua	zero-pass	0	31	0	0	31	31	0	editor	E121: Undefined variable: g:evs (byte <n>)		0	31
autocmd/bufenter_spec.lua	zero-pass	0	3	0	0	3	2	1	editor	E484: Can't open file .: Is a directory (os error <n>)		0	3
autocmd/cmdline_spec.lua	zero-pass	0	6	0	0	6	6	0	protocol	API not implemented via nvim_set_var		0	6
autocmd/completedone_spec.lua	zero-pass	0	6	0	0	6	6	0	editor	Not implemented: col		0	6
autocmd/cursorhold_spec.lua	zero-pass	0	4	0	0	4	4	0	protocol	API not implemented via nvim_exec2		0	4
autocmd/cursormoved_spec.lua	zero-pass	0	5	0	0	5	5	0	protocol	API not implemented via nvim_exec2		0	5
autocmd/dirchanged_spec.lua	zero-pass	0	11	0	0	11	11	0	editor	E121: Undefined variable: g:evpre (byte <n>)		0	11
autocmd/filetype_spec.lua	zero-pass	0	1	0	0	1	0	1	editor	not implemented: help		0	1
autocmd/focus_spec.lua	zero-pass	0	1	0	0	1	1	0	protocol	screen: nvim_get_color_map not implemented		0	1
autocmd/markset_spec.lua	zero-pass	0	6	0	0	6	6	0	editor	E15: Invalid expression		0	6
autocmd/modechanged_spec.lua	zero-pass	0	2	0	0	2	2	0	editor	not implemented: terminal		0	2
autocmd/optionset_spec.lua	zero-pass	0	3	0	0	3	3	0	protocol	API not implemented via nvim_exec2		0	3
autocmd/recording_spec.lua	zero-pass	0	6	0	0	6	6	0	protocol	API not implemented via nvim_exec2		0	6
autocmd/safestate_spec.lua	zero-pass	0	5	0	0	5	5	0	protocol	API not implemented via nvim_exec2		0	5
autocmd/searchwrapped_spec.lua	zero-pass	0	3	0	0	3	3	0	editor	E121: Undefined variable: g:test (byte <n>)		0	3
autocmd/show_spec.lua	partial	1	5	0	0	6	6	0	editor	Not implemented: execute		0	6
autocmd/signal_spec.lua	partial	7	5	0	0	12	6	0	editor	retry() attempts: <n>		0	13
autocmd/tabclose_spec.lua	zero-pass	0	6	0	0	6	6	0	editor	Not implemented: tabpagenr		0	6
autocmd/tabmove_spec.lua	zero-pass	0	4	0	0	4	4	0	editor	not implemented: tabmove		0	4
autocmd/tabnew_spec.lua	zero-pass	0	2	0	0	2	2	0	editor	E121: Undefined variable: g:test (byte <n>)		0	2
autocmd/tabnewentered_spec.lua	zero-pass	0	61	0	0	61	61	0	editor	Not implemented: nvim_command executor		0	61
autocmd/termxx_spec.lua	zero-pass	0	17	0	0	17	17	0	editor	E216: No such group or event: nvim.terminal		0	17
autocmd/textchanged_spec.lua	zero-pass	0	4	0	0	4	4	0	protocol	API not implemented via nvim_exec2		0	4
autocmd/textyankpost_spec.lua	zero-pass	0	8	0	0	8	8	0	editor	E121: Undefined variable: g:event (byte <n>)		0	8
autocmd/win_scrolled_resized_spec.lua	zero-pass	0	13	0	0	13	13	0	protocol	API not implemented via nvim_exec2		0	13
core/channels_spec.lua	zero-pass	0	18	0	0	18	18	0	protocol	API not implemented via nvim_exec2		0	18
core/env_spec.lua	zero-pass	0	1	0	0	1	1	0	protocol	E5108: runtime error: Error(CallbackError { traceback: "s		0	1
core/exit_spec.lua	hang	0	4	0	0	4	15	0	editor	E121: Undefined variable: v:exiting (byte <n>)	T5 :cquit exits with non-zero after :cquit	0	4
core/fileio_spec.lua	partial	1	11	0	0	12	7	5	editor	Invalid method: nvim__stats		0	12
core/job_spec.lua	zero-pass	0	66	0	1	66	66	0	protocol	API not implemented via nvim_set_var		0	66
core/keycode_spec.lua	partial	4	8	0	0	12	12	0	protocol	Lua: runtime error: Error(CallbackError { traceback: "stack traceback:\n\t[C]: in ?\n\t[C]		0	12
core/log_spec.lua	zero-pass	0	4	0	0	4	4	0	editor	Invalid method: nvim__stats		0	4
core/main_spec.lua	hang	0	2	0	0	2	9	0	editor	Not implemented: system	T3 command-line option -s does not crash when running completion in Ex mode	0	2
core/path_spec.lua	zero-pass	0	15	0	1	15	14	0	editor	Not implemented: expand		0	14
core/remote_spec.lua	zero-pass	0	10	0	0	10	12	0	protocol	Not implemented: serverlist		0	12
core/server_spec.lua	partial	1	13	0	1	14	14	0	editor	Not implemented: stdpath		1	13
core/spellfile_spec.lua	partial	3	8	0	0	11	11	0	editor	expected failure, but got success		0	11
core/startup_spec.lua	hang	0	3	0	0	3	82	0	editor	Not implemented: stdpath	T4 startup --startuptime does not crash on error #31125	0	3
editor/K_spec.lua	zero-pass	0	4	0	0	4	4	0	protocol	API not implemented via nvim_exec2		0	4
editor/cmdatom_spec.lua	zero-pass	0	24	0	0	24	24	0	editor	Not implemented: setline		0	24
editor/cmdwin_spec.lua	partial	1	15	0	0	16	16	0	editor	Not implemented: getcmdwintype		0	16
editor/completion_spec.lua	zero-pass	0	56	0	0	56	55	0	protocol	API not implemented via nvim_exec2		0	56
editor/count_spec.lua	zero-pass	0	4	0	0	4	4	0	editor	E474: E<n>: Trailing characters: C-u>let g:count = at by		0	4
editor/ctrl_c_spec.lua	zero-pass	0	3	0	0	3	3	0	protocol	screen: nvim_get_color_map not implemented		0	3
editor/defaults_spec.lua	zero-pass	0	13	0	0	13	14	0	protocol	API not implemented via exec_lua		0	13
editor/fold_spec.lua	zero-pass	0	19	0	0	19	19	0	editor	not implemented: !		0	19
editor/ftplugin_spec.lua	zero-pass	0	0	2	0	2	5	0	protocol	API not implemented via nvim_set_current_dir		0	2
editor/jump_spec.lua	zero-pass	0	18	0	0	18	18	0	editor	Not implemented: execute		0	18
editor/lang_spec.lua	zero-pass	0	1	0	1	1	1	0	editor	assert eq: values differ		0	1
editor/langmap_spec.lua	partial	5	18	0	3	23	23	0	editor	assert eq: values differ		0	23
editor/macro_spec.lua	zero-pass	0	15	0	0	15	15	0	editor	assert eq: values differ		0	15
editor/mark_spec.lua	zero-pass	0	32	0	0	32	32	0	protocol	API not implemented via nvim_buf_get_mark		0	32
editor/meta_key_spec.lua	zero-pass	0	7	0	0	7	7	0	editor	assert eq: values differ		0	7
editor/mode_cmdline_spec.lua	zero-pass	0	8	0	0	8	8	0	editor	Not implemented: getcmdline		0	8
editor/mode_insert_spec.lua	partial	1	29	0	0	30	30	0	editor	assert eq: values differ		0	30
editor/mode_normal_spec.lua	partial	1	3	0	0	4	4	0	editor	Not implemented: setline		0	4
editor/put_spec.lua	zero-pass	0	0	1	0	1	225	0	editor	E54: regular-expression engine is not installed (byte <		0	1
editor/runtime_spec.lua	zero-pass	0	0	1	0	1	19	0	protocol	API not implemented via nvim_exec2		0	1
editor/search_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	assert eq: values differ		0	1
editor/tabpage_spec.lua	partial	1	10	0	0	11	11	0	editor	Not implemented: tabpagenr		0	11
editor/textobject_spec.lua	zero-pass	0	2	0	0	2	2	0	editor	Not implemented: getreg		0	2
editor/undo_spec.lua	partial	1	13	0	0	14	14	0	editor	assert eq: values differ		0	14
editor/xxd_spec.lua	zero-pass	0	2	0	0	2	0	2	editor	Not implemented: system		0	2
ex_cmds/append_spec.lua	zero-pass	0	8	0	0	8	8	0	editor	assert eq: values differ		0	8
ex_cmds/arg_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	not implemented: terminal		0	1
ex_cmds/cd_spec.lua	zero-pass	0	36	0	0	36	36	0	editor	Not implemented: winnr		0	36
ex_cmds/cmd_map_spec.lua	zero-pass	0	15	0	0	15	15	0	protocol	screen: nvim_get_color_map not implemented		0	15
ex_cmds/debug_spec.lua	zero-pass	0	1	0	0	1	1	0	protocol	screen: nvim_get_color_map not implemented		0	1
ex_cmds/dict_notifications_spec.lua	partial	3	67	0	0	70	70	0	protocol	API not implemented via nvim_set_var		0	70
ex_cmds/digraphs_spec.lua	zero-pass	0	1	0	0	1	1	0	protocol	screen: nvim_get_color_map not implemented		0	1
ex_cmds/drop_spec.lua	zero-pass	0	5	0	0	5	5	0	protocol	screen: nvim_get_color_map not implemented		0	5
ex_cmds/echo_spec.lua	zero-pass	0	0	1	0	1	41	0	protocol	API not implemented via nvim_exec2		0	1
ex_cmds/edit_spec.lua	zero-pass	0	2	0	0	2	2	0	editor	expected failure, but got success		0	2
ex_cmds/encoding_spec.lua	zero-pass	0	3	0	0	3	3	0	editor	assert eq: values differ		0	3
ex_cmds/excmd_spec.lua	partial	1	4	0	0	5	5	0	editor	assert eq: values differ		0	5
ex_cmds/file_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	not implemented: file		0	1
ex_cmds/grep_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	not implemented: grep		0	1
ex_cmds/help_spec.lua	zero-pass	0	4	0	0	4	4	0	editor	not implemented: helptags		0	4
ex_cmds/highlight_spec.lua	zero-pass	0	6	0	0	6	6	0	protocol	screen: nvim_get_color_map not implemented		0	6
ex_cmds/log_spec.lua	zero-pass	0	5	0	0	5	5	0	protocol	API not implemented via exec_lua		0	5
ex_cmds/ls_spec.lua	zero-pass	0	2	0	0	2	2	0	editor	not implemented: terminal		0	2
ex_cmds/lsp_spec.lua	zero-pass	0	13	0	0	13	13	0	editor	E117: Function is not implemented: stdpath (byte <n>)\ns		0	13
ex_cmds/make_spec.lua	no-tests	0	0	0	1	0	0	0				0	1
ex_cmds/map_spec.lua	partial	1	13	0	0	14	14	0	protocol	API not implemented via nvim_set_var		0	14
ex_cmds/marks_spec.lua	zero-pass	0	3	0	0	3	3	0	editor	Not implemented: setline		0	3
ex_cmds/menu_spec.lua	zero-pass	0	13	0	0	13	13	0	editor	not implemented: nnoremenu		0	13
ex_cmds/mksession_spec.lua	zero-pass	0	18	0	0	18	18	0	editor	not implemented: terminal		0	18
ex_cmds/mkview_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	not implemented: mkview		0	1
ex_cmds/normal_spec.lua	partial	1	3	0	0	4	4	0	editor	assert eq: values differ		0	4
ex_cmds/oldfiles_spec.lua	zero-pass	0	5	0	0	5	5	0	protocol	screen: nvim_get_color_map not implemented		0	5
ex_cmds/pack_spec.lua	zero-pass	0	15	0	0	15	15	0	protocol	API not implemented via exec_lua		0	15
ex_cmds/print_commands_spec.lua	zero-pass	0	2	0	0	2	2	0	editor	Not implemented: line		0	2
ex_cmds/profile_spec.lua	zero-pass	0	4	0	0	4	4	0	editor	E121: Undefined variable: v:profiling (byte <n>)		0	4
ex_cmds/quickfix_commands_spec.lua	zero-pass	0	6	0	0	6	6	0	editor	not implemented: lfile		0	6
ex_cmds/quit_spec.lua	clean	1	0	0	0	1	1	0				1	0
ex_cmds/script_spec.lua	zero-pass	0	0	1	0	1	16	0	editor	E117: Function is not implemented: expand (byte <n>)") }		0	1
ex_cmds/sign_spec.lua	zero-pass	0	2	0	0	2	2	0	editor	not implemented: sign		0	2
ex_cmds/source_spec.lua	partial	1	13	0	1	14	14	0	editor	E484: : No such file or directory (os error <n>)		0	14
ex_cmds/swapfile_preserve_recover_spec.lua	zero-pass	0	16	0	1	16	16	0	editor	assert eq: values differ		0	16
ex_cmds/syntax_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	assert eq: values differ		0	1
ex_cmds/trust_spec.lua	zero-pass	0	5	0	0	5	5	0	protocol	API not implemented via nvim_exec2		0	5
ex_cmds/undojoin_spec.lua	zero-pass	0	3	0	0	3	3	0	editor	not implemented: goto		0	3
ex_cmds/uptime_spec.lua	zero-pass	0	2	0	0	2	2	0	protocol	API not implemented via nvim_exec2		0	2
